siren,siret,finess,nom,type,naf,libelle,commune,departement,telephone,source
530605799,53060579900309,,EUROTRANSPHARMA,livraison,49.41B,Transports routiers de fret de proximite,CLERMONT-FERRAND,63,,sirene
342207099,34220709900082,,PEDRETTI DISTRIBUTION,livraison,49.41B,Transports routiers de fret de proximite,LA MOTTE-SERVOLEX,73,,sirene
417715513,41771551300012,,SARL CAPUCINE,livraison,49.41B,Transports routiers de fret de proximite,GARNERANS,01,,sirene
429179229,42917922900092,,LOGIVIA,livraison,49.41B,Transports routiers de fret de proximite,AISEREY,21,,sirene
637080466,63708046600021,,CITAIX PARIS,livraison,49.41B,Transports routiers de fret de proximite,NANGIS,77,,sirene
523287126,52328712600024,,COGEPART 74,livraison,49.41B,Transports routiers de fret de proximite,SAINT-GENIX-LES-VILLAGES,73,,sirene
352566194,35256619400028,,SBG FRANCE TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,BEYNOST,01,,sirene
879712727,87971272700012,,RDT TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,LE PLANTAY,01,,sirene
530372192,53037219200019,,GP TRANS,livraison,49.41B,Transports routiers de fret de proximite,OYONNAX,01,,sirene
794297499,79429749900012,,TRANSPORT DANNENMULLER,livraison,49.41B,Transports routiers de fret de proximite,POLLIAT,01,,sirene
910362375,91036237500016,,SOFRILOG TRANSPORT MACON,livraison,49.41B,Transports routiers de fret de proximite,CAEN,14,,sirene
329903629,32990362900056,,GERVAIS TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,FAREINS,01,,sirene
437851843,43785184300015,,T3B,livraison,49.41B,Transports routiers de fret de proximite,YENNE,73,,sirene
378647051,37864705100093,,PERRENOT ROBINEAU,livraison,49.41B,Transports routiers de fret de proximite,SAINT-DONAT-SUR-L'HERBASSE,26,,sirene
438368128,43836812800049,,MIELLY TRANSPORTS ET MANUTENTION,livraison,49.41B,Transports routiers de fret de proximite,CHASSIEU,69,,sirene
392597373,39259737300027,,TRANSPORTS BLANC,livraison,49.41B,Transports routiers de fret de proximite,ATTIGNAT,01,,sirene
339994386,33999438600029,,TRANSPORTS FILHOL,livraison,49.41B,Transports routiers de fret de proximite,VAUX-EN-BUGEY,01,,sirene
344078548,34407854800015,,TRANSPORTS ET APPROVISIONNEMENT GENERAUX,livraison,49.41B,Transports routiers de fret de proximite,AMBRONAY,01,,sirene
326343761,32634376100028,,SOCIETE D'EXPLOITATION DES TRANSPORTS MASNADA,livraison,49.41B,Transports routiers de fret de proximite,SAINT-MARTIN-DE-BAVEL,01,,sirene
395383938,39538393800044,,TRANSPORTS SICARD,livraison,49.41B,Transports routiers de fret de proximite,BOURG-EN-BRESSE,01,,sirene
491688669,49168866900028,,TRANSPORTS GONZALEZ,livraison,49.41B,Transports routiers de fret de proximite,TOSSIAT,01,,sirene
488706953,48870695300046,,ACE TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,LA SALLE,71,,sirene
491191490,49119149000011,,MICHON TRANSPORTS BETON,livraison,49.41B,Transports routiers de fret de proximite,VIRIAT,01,,sirene
823514914,82351491400014,,BBF TRANSPORTS ET LOCATIONS,livraison,49.41B,Transports routiers de fret de proximite,AMBRONAY,01,,sirene
422372888,42237288800046,,BENOIT GOLLION (SBT TRANSPORT),livraison,49.41B,Transports routiers de fret de proximite,OYONNAX,01,,sirene
750836165,75083616500035,,BHBJ TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,FERNEY-VOLTAIRE,01,,sirene
760200402,76020040200021,,J MULLER ET CIE SA,livraison,49.41B,Transports routiers de fret de proximite,PREVESSIN-MOENS,01,,sirene
802773176,80277317600028,,BMBGL,livraison,96.01A,Blanchisserie-teinturerie de gros,MIRIBEL,01,,sirene
772200127,77220012700037,,TRANSPORTS GALY SA,livraison,49.41B,Transports routiers de fret de proximite,AMBERIEU-EN-BUGEY,01,,sirene
878686344,87868634400028,,SOCIETE DE TRANSPORT ROUTIER 01,livraison,49.41B,Transports routiers de fret de proximite,BOURG-EN-BRESSE,01,,sirene
828063149,82806314900011,,TRANSPORT LOCATION SERVICES,livraison,49.41B,Transports routiers de fret de proximite,LENT,01,,sirene
845197490,84519749000020,,T2M DEMENAGEMENT,livraison,49.41B,Transports routiers de fret de proximite,DAGNEUX,01,,sirene
316972124,31697212400028,,TRANSPORTS DU BUGEY,livraison,49.41B,Transports routiers de fret de proximite,ARTEMARE,01,,sirene
321569014,32156901400152,,TRANSPORTS DU VAL DE SOUDE,livraison,49.41B,Transports routiers de fret de proximite,SEZANNE,51,,sirene
389800202,38980020200027,,SOC NOUVELLE TRANSPORTS BERNARD,livraison,49.41B,Transports routiers de fret de proximite,MIRIBEL,01,,sirene
432741221,43274122100035,,CB TRANS,livraison,49.41B,Transports routiers de fret de proximite,CHATILLON-SUR-CHALARONNE,01,,sirene
478848906,47884890600010,,ACMET TRANS,livraison,49.41B,Transports routiers de fret de proximite,AMBERIEU-EN-BUGEY,01,,sirene
443327150,44332715000035,,TMS EXPRESS,livraison,49.41B,Transports routiers de fret de proximite,BALAN,01,,sirene
377583885,37758388500027,,TRANSPORTS COIRON & FILS,livraison,49.41B,Transports routiers de fret de proximite,AMBRONAY,01,,sirene
905201687,90520168700019,,TRANSPORTS FLOBER,livraison,49.41B,Transports routiers de fret de proximite,ARBENT,01,,sirene
833230279,83323027900022,,1 EXPRESS,livraison,49.41B,Transports routiers de fret de proximite,FEIGERES,74,,sirene
