nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
(ENTREPRISE DU NORD TOULOUSAIN POUR LE RETOUR A L'EMPLOI) ENTRE-SERVICES,,,a contacter,,,,,,,,,,,,proprete,,VILLEMUR-SUR-TARN,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852763788,85276378800019,81.21Z,,,,,,,,,,,sirene,
02 FONTAINEBLEAU - AVON,,,a contacter,,,,,,,,,,,,proprete,,FONTAINEBLEAU,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499426245,49942624500035,81.21Z,,,,,,,,,,,sirene,
02 TOURCOING,,,a contacter,,,,,,,,,,,,proprete,,TOURCOING,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789548476,78954847600033,81.21Z,,,,,,,,,,,sirene,
02 VALENCIENNES,,,a contacter,,,,,,,,,,,,proprete,,VALENCIENNES,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498109701,49810970100033,81.21Z,,,,,,,,,,,sirene,
1 PEK,,,a contacter,,,,,,,,,,,,proprete,,SAINT-APOLLINAIRE,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442777199,44277719900039,81.22Z,,,,,,,,,,,sirene,
1.2.3. NETTOYAGE PAYSAGE,,,a contacter,,,,,,,,,,,,proprete,,GOUVIEUX,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483901195,48390119500048,81.21Z,,,,,,,,,,,sirene,
100DRILLON-NET 74,,,a contacter,,,,,,,,,,,,proprete,,PASSY,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800507741,80050774100018,81.21Z,,,,,,,,,,,sirene,
132,,,a contacter,,,,,,,,,,,,proprete,,CARCASSONNE,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799055660,79905566000010,81.21Z,,,,,,,,,,,sirene,
19 PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,BRIVE-LA-GAILLARDE,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879311199,87931119900027,81.21Z,,,,,,,,,,,sirene,
2 FC,,,a contacter,,,,,,,,,,,,proprete,,GIGEAN,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808533632,80853363200044,81.21Z,,,,,,,,,,,sirene,
2 G NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,DECINES-CHARPIEU,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512292871,51229287100021,81.22Z,,,,,,,,,,,sirene,
2 M NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,BAYONNE,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440867117,44086711700036,81.21Z,,,,,,,,,,,sirene,
2 M S,,,a contacter,,,,,,,,,,,,proprete,,VALENCE,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390234995,39023499500053,81.21Z,,,,,,,,,,,sirene,
2 NM PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,BAYEUX,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529413650,52941365000035,81.21Z,,,,,,,,,,,sirene,
2B NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,LES ABYMES,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908084031,90808403100032,81.30Z,,,,,,,,,,,sirene,
2F SERVICES,,,a contacter,,,,,,,,,,,,proprete,,VILLETTE-D'ANTHON,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393815493,39381549300035,81.21Z,,,,,,,,,,,sirene,
2JL,,,a contacter,,,,,,,,,,,,proprete,,CHANTELOUP-LES-VIGNES,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823046685,82304668500025,81.22Z,,,,,,,,,,,sirene,
2L PAYSAGE,,,a contacter,,,,,,,,,,,,proprete,,VALOGNES,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881909337,88190933700019,81.30Z,,,,,,,,,,,sirene,
