nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
 ALMA SECURITE,,,a contacter,,,,,,,,,,,,securite,,CAGNES-SUR-MER,,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882891369,88289136900036,80.10Z,,,,,,,,,,,sirene,
101 SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,NANTERRE,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500459896,50045989600014,80.10Z,,,,,,,,,,,sirene,
17 SECURITE,,,a contacter,,,,,,,,,,,,securite,,LA ROCHELLE,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789393642,78939364200028,80.10Z,,,,,,,,,,,sirene,
1ERE LIGNE SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,SAINT-DENIS,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394886196,39488619600044,80.10Z,,,,,,,,,,,sirene,
2 AILES SECURITE,,,a contacter,,,,,,,,,,,,securite,,DEOLS,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821442381,82144238100025,80.10Z,,,,,,,,,,,sirene,
2A SECURITE,,,a contacter,,,,,,,,,,,,securite,,AUBAGNE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834545212,83454521200047,80.10Z,,,,,,,,,,,sirene,
2GEANTS SECURITE,,,a contacter,,,,,,,,,,,,securite,,METZ,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949308654,94930865400027,80.10Z,,,,,,,,,,,sirene,
2GS SECURITE,,,a contacter,,,,,,,,,,,,securite,,ROUEN,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829418417,82941841700012,80.10Z,,,,,,,,,,,sirene,
2K SECURITE,,,a contacter,,,,,,,,,,,,securite,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894777374,89477737400014,80.20Z,,,,,,,,,,,sirene,
2L SECURITE,,,a contacter,,,,,,,,,,,,securite,,REMAUVILLE,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890709868,89070986800016,80.20Z,,,,,,,,,,,sirene,
2M (ALARME),,,a contacter,,,,,,,,,,,,securite,,VILLENAVE-D'ORNON,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832908131,83290813100028,80.20Z,,,,,,,,,,,sirene,
2M ALARME SUD-OUEST,,,a contacter,,,,,,,,,,,,securite,,BORDEAUX,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907837223,90783722300011,80.20Z,,,,,,,,,,,sirene,
2M SECURITE,,,a contacter,,,,,,,,,,,,securite,,VILLENAVE-D'ORNON,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790197222,79019722200041,80.10Z,,,,,,,,,,,sirene,
2M SECURITE IDF,,,a contacter,,,,,,,,,,,,securite,,SAINT-OUEN-L'AUMONE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902258052,90225805200015,80.20Z,,,,,,,,,,,sirene,
2S SECURITE,,,a contacter,,,,,,,,,,,,securite,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909959785,90995978500017,80.20Z,,,,,,,,,,,sirene,
2S.2A,,,a contacter,,,,,,,,,,,,securite,,SAINTE-SAVINE,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444099188,44409918800039,80.10Z,,,,,,,,,,,sirene,
2T SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,SAINT-DENIS,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848156220,84815622000024,80.10Z,,,,,,,,,,,sirene,
3F ASSISTANCE,,,a contacter,,,,,,,,,,,,securite,,PEYMEINADE,,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494641673,49464167300020,80.10Z,,,,,,,,,,,sirene,
3S FERGO GRAND SUD,,,a contacter,,,,,,,,,,,,securite,,MONTPELLIER,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908618689,90861868900016,80.10Z,,,,,,,,,,,sirene,
3S SAFETY,,,a contacter,,,,,,,,,,,,securite,,BEAUMONT-SUR-OISE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831356092,83135609200013,80.10Z,,,,,,,,,,,sirene,
A & T' MISSIONS,,,a contacter,,,,,,,,,,,,securite,,VILLENEUVE,,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814705091,81470509100035,80.10Z,,,,,,,,,,,sirene,
A 34 SECURITE,,,a contacter,,,,,,,,,,,,securite,,LATTES,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431673680,43167368000028,80.10Z,,,,,,,,,,,sirene,
A D S GROUPE,,,a contacter,,,,,,,,,,,,securite,,DEUIL-LA-BARRE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922413737,92241373700045,80.10Z,,,,,,,,,,,sirene,
A G 2 S,,,a contacter,,,,,,,,,,,,securite,,MERY-SUR-OISE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404298580,40429858000014,80.20Z,,,,,,,,,,,sirene,
A S I,,,a contacter,,,,,,,,,,,,securite,,CARHAIX-PLOUGUER,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418307377,41830737700055,80.10Z,,,,,,,,,,,sirene,
A T S ALARME TELESURVEILLANCE SECURITE,,,a contacter,,,,,,,,,,,,securite,,VENDOME,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442143541,44214354100021,80.20Z,,,,,,,,,,,sirene,
A.B SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,LE PRE-SAINT-GERVAIS,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881323059,88132305900017,80.10Z,,,,,,,,,,,sirene,
A.E.G.S SARL AGENCE EUROPEENNE DE GARDIENNAGE ET SECURITE,,,a contacter,,,,,,,,,,,,securite,,CONCARNEAU,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530847938,53084793800020,80.10Z,,,,,,,,,,,sirene,
